"period","sex","age_label","age_start","open_interval","mx","qx","lx","ex"
"2023-2025","total","0",0,FALSE,0.00901664379836718,0.00894794730799989,1e+05,78.4949840511925
"2023-2025","total","1",1,FALSE,0.000951696382616702,0.000951207691154105,99105.2052692,78.2023534429059
"2023-2025","total","2",2,FALSE,0.000617158797324759,0.000616958758053712,99010.9356357145,77.2763728182102
"2023-2025","total","3",3,FALSE,0.000496903506569587,0.000496778142590413,98949.849971831,76.3237855755046
"2023-2025","total","4",4,FALSE,0.000432618058826423,0.000432522737760661,98900.6938491524,75.3614757998647
"2023-2025","total","5",5,FALSE,0.000407060148894667,0.000406975260861597,98857.9170502823,74.393873176947
"2023-2025","total","6",6,FALSE,0.000389204949793094,0.000389131238560262,98817.6843237026,73.4239634529134
"2023-2025","total","7",7,FALSE,0.000375549623085095,0.000375480373716193,98779.23127581,72.4523463134191
"2023-2025","total","8",8,FALSE,0.000347139951100095,0.000347079562777795,98742.1416131352,71.4793698086313
"2023-2025","total","9",9,FALSE,0.000359206966333663,0.000359142744146661,98707.8702337964,70.5040142706648
"2023-2025","total","10",10,FALSE,0.000344559440909525,0.000344500234692864,98672.4200184118,69.5291639542182
"2023-2025","total","11",11,FALSE,0.000366030878656084,0.000365965196063951,98638.4273465577,68.5529522940207
"2023-2025","total","12",12,FALSE,0.000398151319444656,0.000398074902774335,98602.3291151544,67.5778628853559
"2023-2025","total","13",13,FALSE,0.000424595422360569,0.000424508854899409,98563.0780025785,66.6045684211675
"2023-2025","total","14",14,FALSE,0.000465981001334328,0.000465874485030021,98521.2371032003,65.6326339376734
"2023-2025","total","15",15,FALSE,0.000556878084337564,0.000556725440615645,98475.3385726003,64.6629873586893
"2023-2025","total","16",16,FALSE,0.0005653248804653,0.000565161717640574,98420.5148463437,63.6987241651423
"2023-2025","total","17",17,FALSE,0.000627831148630662,0.000627633814628341,98364.8913391221,62.73446790258
"2023-2025","total","18",18,FALSE,0.000680095379262919,0.000679862629559546,98303.1542071454,61.7735533841612
"2023-2025","total","19",19,FALSE,0.000702888441623725,0.000702636901755121,98236.3215662321,60.8152416252228
"2023-2025","total","20",20,FALSE,0.000716702765223918,0.000716448944721894,98167.297101607,59.8576576903595
"2023-2025","total","21",21,FALSE,0.00072068365650812,0.000720426259942478,98096.9652451924,58.9002108345596
"2023-2025","total","22",22,FALSE,0.000742834570880117,0.000742556762113062,98026.2936154091,57.9423111531782
"2023-2025","total","23",23,FALSE,0.000733501316128004,0.000733229918069018,97953.5035282201,56.9849997347742
"2023-2025","total","24",24,FALSE,0.00072557246356698,0.00072530885249923,97881.6810888535,56.0264500076295
"2023-2025","total","25",25,FALSE,0.000710139136402963,0.000709891066560206,97810.6866390623,55.0667537261833
"2023-2025","total","26",26,FALSE,0.000717110843928358,0.000716852807993845,97741.2517064031,54.105512071543
"2023-2025","total","27",27,FALSE,0.000718024764368058,0.000717765262010953,97671.1856156605,53.1439683015747
"2023-2025","total","28",28,FALSE,0.000727105058018274,0.000726837533878665,97601.0806315262,52.1817839848591
"2023-2025","total","29",29,FALSE,0.000726741057407011,0.000726481080387631,97530.140502776,51.2193800832822
"2023-2025","total","30",30,FALSE,0.000742128249191054,0.000741850708005264,97459.2867009332,50.2562480265634
"2023-2025","total","31",31,FALSE,0.000750741861299598,0.00075045906325183,97386.9864600925,49.2931901946943
"2023-2025","total","32",32,FALSE,0.000769862093896071,0.000769562472115792,97313.9015134607,48.3298364499436
"2023-2025","total","33",33,FALSE,0.000794882675613808,0.000794563709675705,97239.0123868408,47.3666772560872
"2023-2025","total","34",34,FALSE,0.000830221877252124,0.000829876261315175,97161.7497964335,46.4039494245212
"2023-2025","total","35",35,FALSE,0.000872993157595378,0.000872611887113547,97081.1175667696,45.442077018963
"2023-2025","total","36",36,FALSE,0.000908832473902998,0.000908422963778023,96996.4034295665,44.4813286945066
"2023-2025","total","37",37,FALSE,0.000954681767116187,0.000954239259320848,96908.2896692872,43.5213150457384
"2023-2025","total","38",38,FALSE,0.000994734256291621,0.000994247669344844,96815.8159747312,42.5623932657669
"2023-2025","total","39",39,FALSE,0.00105312519707625,0.00105257409385537,96719.5570753426,41.6042473544865
"2023-2025","total","40",40,FALSE,0.00114271852170558,0.00114208171467174,96617.7525751959,40.6475552207541
"2023-2025","total","41",41,FALSE,0.00124256565891154,0.00124181527290478,96507.4072066671,39.693445652975
"2023-2025","total","42",42,FALSE,0.00135840904967516,0.00135749916593067,96387.5628344494,38.7421601596537
"2023-2025","total","43",43,FALSE,0.00146254448858033,0.00146148984557705,96256.7167982956,37.7941354827752
"2023-2025","total","44",44,FALSE,0.00159020991784521,0.00158892625100853,96116.0385841263,36.8487106006261
"2023-2025","total","45",45,FALSE,0.00173216633823393,0.00173067597418682,95963.317287277,35.9065707244933
"2023-2025","total","46",46,FALSE,0.00188606281722002,0.00188429389439939,95797.2358796446,34.9679493189396
"2023-2025","total","47",47,FALSE,0.00206376188426183,0.00206164018209156,95616.7257329763,34.0330154138761
"2023-2025","total","48",48,FALSE,0.00227056709920649,0.0022680284871013,95419.5984491252,33.1022884970437
"2023-2025","total","49",49,FALSE,0.00249471060945288,0.00249164465259137,95203.1840816148,32.1763835034497
"2023-2025","total","50",50,FALSE,0.00277870536199142,0.00277492717943706,94965.9715770881,31.2554900610975
"2023-2025","total","51",51,FALSE,0.00305358931337154,0.00304900681284336,94702.4479214372,30.3410439402571
"2023-2025","total","52",52,FALSE,0.00341580841645971,0.00340997483858922,94413.6995125318,29.4322838674242
"2023-2025","total","53",53,FALSE,0.00376560853615699,0.00375858949303706,94091.751172776,28.5312826409832
"2023-2025","total","54",54,FALSE,0.00420905654916316,0.00420027724029132,93738.0989054365,27.6370228510957
"2023-2025","total","55",55,FALSE,0.0046170824104872,0.00460649648247633,93344.3729020559,26.7514722651465
"2023-2025","total","56",56,FALSE,0.00512044198362592,0.00510745830212117,92914.3823766236,25.8729486865884
"2023-2025","total","57",57,FALSE,0.00564248773383125,0.00562681403314586,92439.8260429676,25.0031870784151
"2023-2025","total","58",58,FALSE,0.00627540088891734,0.00625614142585892,91919.6843325675,24.1418063327651
"2023-2025","total","59",59,FALSE,0.00687965848535963,0.00685628526715688,91344.6217875626,23.2905845647631
"2023-2025","total","60",60,FALSE,0.00759101280065765,0.00756242803660425,90718.3370029666,22.447891148858
"2023-2025","total","61",61,FALSE,0.00838134293681514,0.00834610273859493,90032.2861077812,21.6151195409822
"2023-2025","total","62",62,FALSE,0.00938975950294152,0.00934645474416962,89280.8673981351,20.7928635165634
"2023-2025","total","63",63,FALSE,0.0103783181025999,0.0103244595605241,88446.4078114782,19.984257387347
"2023-2025","total","64",64,FALSE,0.0115034004008854,0.0114380292434198,87533.246450755,19.1875479755658
"2023-2025","total","65",65,FALSE,0.0124361774487599,0.0123586506088347,86532.0386180798,18.4037331820445
"2023-2025","total","66",66,FALSE,0.013826143433964,0.0137309357496425,85462.6193863287,17.6278232674589
"2023-2025","total","67",67,FALSE,0.0152550337782228,0.0151405947919956,84289.1376505389,16.8662994031447
"2023-2025","total","68",68,FALSE,0.0171421968716373,0.0169996079349742,83012.9499720054,16.1178347272969
"2023-2025","total","69",69,FALSE,0.0186562268035613,0.0184838658979786,81601.7623689556,15.38773825295
"2023-2025","total","70",70,FALSE,0.0204340782176924,0.0202258660034952,80093.4463362892,14.6681002377179
"2023-2025","total","71",71,FALSE,0.0222993132384876,0.0220504487166857,78473.4870229332,13.9606560560147
"2023-2025","total","72",72,FALSE,0.0250169757600027,0.0247109108576109,76743.1114217145,13.2643000108891
"2023-2025","total","73",73,FALSE,0.0277541917750677,0.0273776214123818,74846.7192364369,12.5875849901346
"2023-2025","total","74",74,FALSE,0.030982792674774,0.0305167165903807,72797.5940932229,11.9277052422125
"2023-2025","total","75",75,FALSE,0.0336116894383411,0.0330530597015325,70576.0505458184,11.2871964807431
"2023-2025","total","76",76,FALSE,0.0371389851334676,0.0364573976134038,68243.2961336291,10.6560310128844
"2023-2025","total","77",77,FALSE,0.0412287405199874,0.0403998755584057,65755.3231520361,10.0404313574933
"2023-2025","total","78",78,FALSE,0.0467353485367871,0.0456712527838982,63098.8162793911,9.4419906625793
"2023-2025","total","79",79,FALSE,0.0528617514815597,0.0515057636797478,60217.0142907303,8.86985667089934
"2023-2025","total","80",80,FALSE,0.0596330103747116,0.0579144856375867,57115.4909831719,8.32425538845788
"2023-2025","total","81",81,FALSE,0.0673046998838162,0.0651122837820619,53807.6767009433,7.80510221476111
"2023-2025","total","82",82,FALSE,0.0761428574353036,0.0733711765253431,50304.135985938,7.31390153447911
"2023-2025","total","83",83,FALSE,0.0854392443157053,0.0819239195193587,46613.2623445589,6.85312439681555
"2023-2025","total","84",84,FALSE,0.0963518658282125,0.091947858677536,42794.5211917085,6.42023974784619
"2023-2025","total","85",85,FALSE,0.107262800007077,0.101759201748761,38859.6566050005,6.01942007859339
"2023-2025","total","86",86,FALSE,0.119705185641582,0.112875504383337,34905.3289686447,5.64517840459883
"2023-2025","total","87",87,FALSE,0.131532379294148,0.123241268923014,30965.3723556426,5.30053291082388
"2023-2025","total","88",88,FALSE,0.145580244720896,0.135690884283537,27149.1605738596,4.9769309435633
"2023-2025","total","89",89,FALSE,0.160692532712649,0.148839725153454,23465.2669680369,4.67987843532402
"2023-2025","total","90",90,FALSE,0.178734163550129,0.164089898934099,19972.7030818618,4.410026328193
"2023-2025","total","91",91,FALSE,0.196952336271098,0.178912433672465,16695.3842517184,4.17743431805672
"2023-2025","total","92",92,FALSE,0.215812663717179,0.194070795603148,13708.3724241465,3.98134099581582
"2023-2025","total","93",93,FALSE,0.233283373374782,0.208036815417434,11047.9776813681,3.82426291416725
"2023-2025","total","94",94,FALSE,0.250127868647683,0.221529916368225,8749.5915877334,3.70280548056542
"2023-2025","total","95",95,FALSE,0.265797155494699,0.233416928765251,6811.2952950467,3.6188144802522
"2023-2025","total","96",96,FALSE,0.283551881048062,0.247187725339421,5221.42366636369,3.57513446069185
"2023-2025","total","97",97,FALSE,0.299422608974947,0.258118730267363,3930.75182724183,3.5910408337021
"2023-2025","total","98",98,FALSE,0.310790873685231,0.267255457013718,2916.15115659805,3.67846720886622
"2023-2025","total","99",99,FALSE,0.301451750640478,0.259372916485439,2136.79384652036,3.84656111375595
"2023-2025","total","100+",100,TRUE,0.248020855755662,1,1582.56739462023,4.03191899710704
"2023-2025","male","0",0,FALSE,0.0097436286702337,0.00966265343483882,1e+05,75.8712821150494
"2023-2025","male","1",1,FALSE,0.00097332879777616,0.000972812051245391,99033.7346565161,75.610187738371
"2023-2025","male","2",2,FALSE,0.00064911445177165,0.00064889022183589,98937.3934459624,74.6833715286656
"2023-2025","male","3",3,FALSE,0.000536487286481511,0.000536341506040119,98873.1939387814,73.7315606571695
"2023-2025","male","4",4,FALSE,0.000433349704954907,0.000433252728146229,98820.1641410373,72.770862422517
"2023-2025","male","5",5,FALSE,0.000436679332351391,0.000436581736952293,98777.3500353273,71.8021947034398
"2023-2025","male","6",6,FALSE,0.000405043176513512,0.000404962589093503,98734.2256482774,70.8333427416795
"2023-2025","male","7",7,FALSE,0.000398088770263929,0.000398014402569708,98694.2419806267,69.861833130576
"2023-2025","male","8",8,FALSE,0.000352802034640595,0.000352740185388708,98654.9602508677,68.889438931292
"2023-2025","male","9",9,FALSE,0.000385425862223596,0.000385349706175029,98620.1606818993,67.9135700852541
"2023-2025","male","10",10,FALSE,0.000357374482167859,0.000357311890965787,98582.1574319576,66.9395628154743
"2023-2025","male","11",11,FALSE,0.000390560887986529,0.0003904844935772,98546.9328548701,65.9633074313645
"2023-2025","male","12",12,FALSE,0.000414246045148182,0.000414166272492996,98508.4518057007,64.9888801831223
"2023-2025","male","13",13,FALSE,0.000468141467991995,0.00046803844701602,98467.6529274073,64.0155858528209
"2023-2025","male","14",14,FALSE,0.000502518272452702,0.000502396242398889,98421.5662800498,63.0453135472344
"2023-2025","male","15",15,FALSE,0.000653969712030454,0.000653760529732164,98372.1196549797,62.0767435069606
"2023-2025","male","16",16,FALSE,0.000706678133224033,0.000706426080601251,98307.8078459232,61.117019267275
"2023-2025","male","17",17,FALSE,0.000803991461785088,0.00080366907130873,98238.3606465341,60.1598744440403
"2023-2025","male","18",18,FALSE,0.000882517903021312,0.000882127226138988,98159.4095144664,59.2078589564999
"2023-2025","male","19",19,FALSE,0.000927231942974707,0.000926790016728389,98072.820426832,58.2596941032253
"2023-2025","male","20",20,FALSE,0.000958164620288807,0.0009577099231496,97981.927515948,57.3132880945483
"2023-2025","male","21",21,FALSE,0.000981402302514,0.000980927649371508,97888.0892516766,56.3677465949317
"2023-2025","male","22",22,FALSE,0.00101653622788157,0.00101601822953348,97792.0681183855,55.4225957994307
"2023-2025","male","23",23,FALSE,0.00100931036338663,0.00100879050682343,97692.7095944735,54.4784564762777
"2023-2025","male","24",24,FALSE,0.000990464016893124,0.000989972166357274,97594.1581164487,53.5329750945117
"2023-2025","male","25",25,FALSE,0.00096268933227899,0.00096223162712895,97497.5426163144,52.5855298914287
"2023-2025","male","26",26,FALSE,0.000955644802779738,0.000955192222715375,97403.7273972416,51.6356908305286
"2023-2025","male","27",27,FALSE,0.000955460442032723,0.000954999877583503,97310.6881143683,50.6845779312479
"2023-2025","male","28",28,FALSE,0.000959854024290076,0.000959381760937941,97217.7564191315,49.7325545487858
"2023-2025","male","29",29,FALSE,0.000968147875229033,0.000967689312213669,97124.4874767836,48.7798450582428
"2023-2025","male","30",30,FALSE,0.000983546170777158,0.000983061385394973,97030.5011482981,47.8265999976669
"2023-2025","male","31",31,FALSE,0.000994002201347387,0.000993502837152814,96935.1142094137,46.8731720985669
"2023-2025","male","32",32,FALSE,0.00100689252407384,0.00100638078622132,96838.8088984269,45.9192954262057
"2023-2025","male","33",33,FALSE,0.00102347520757503,0.00102294305714702,96741.352181791,44.9650556290739
"2023-2025","male","34",34,FALSE,0.00106255838071097,0.00106199030456542,96642.3912872376,44.0105959072182
"2023-2025","male","35",35,FALSE,0.00111298223721424,0.00111236370252831,96539.7580046805,43.0568565018939
"2023-2025","male","36",36,FALSE,0.00115806933534362,0.00115740810821684,96432.3706820253,42.1042474838519
"2023-2025","male","37",37,FALSE,0.00121136680202401,0.00121064931648056,96320.7590743033,41.1524486352697
"2023-2025","male","38",38,FALSE,0.00125953638234556,0.00125875658696717,96204.1484131671,40.2017111035489
"2023-2025","male","39",39,FALSE,0.00133296767075148,0.00133208593597141,96083.0508076585,39.2517386010869
"2023-2025","male","40",40,FALSE,0.00143751334456268,0.00143651394582086,95955.0599269924,38.3034235353725
"2023-2025","male","41",41,FALSE,0.00155627878695756,0.00155509756703061,95817.2191452352,37.3577837401536
"2023-2025","male","42",42,FALSE,0.00168680860146465,0.00168541343838316,95668.2140208628,36.4151718881406
"2023-2025","male","43",43,FALSE,0.00182244753715448,0.0018208295362774,95506.9735273259,35.4757903641435
"2023-2025","male","44",44,FALSE,0.00198625342755276,0.00198427009351431,95333.0716090069,34.5395688488071
"2023-2025","male","45",45,FALSE,0.00218057428180074,0.00217822076454448,95143.9050460903,33.6072532465525
"2023-2025","male","46",46,FALSE,0.00237310224626695,0.00237027336555637,94936.6606164991,32.6795157570965
"2023-2025","male","47",47,FALSE,0.00260866623823515,0.0026052955260731,94711.6347784249,31.7559781665301
"2023-2025","male","48",48,FALSE,0.00288337750106142,0.00287929937009733,94464.8829800696,30.8376113783869
"2023-2025","male","49",49,FALSE,0.00319844686639205,0.00319336902300914,94192.8903020088,29.9251893161506
"2023-2025","male","50",50,FALSE,0.00358852031058131,0.003582254223718,93892.0976439306,29.0194467149589
"2023-2025","male","51",51,FALSE,0.00398590999891345,0.00397810465107883,93555.7522805719,28.121932775227
"2023-2025","male","52",52,FALSE,0.00447536184204606,0.00446537168799402,93183.5777072894,27.2322236456123
"2023-2025","male","53",53,FALSE,0.00495763431152934,0.00494551853568798,92767.4783976093,26.3521279478316
"2023-2025","male","54",54,FALSE,0.00556355908289595,0.00554811840239336,92308.6951136848,25.4805865231324
"2023-2025","male","55",55,FALSE,0.00614464379586268,0.00612586251317636,91796.5555436237,24.6199562798965
"2023-2025","male","56",56,FALSE,0.0068483935873943,0.00682510946457204,91234.2224651803,23.7686160832698
"2023-2025","male","57",57,FALSE,0.00756581372266521,0.00753776480512342,90611.5389099403,22.9285055830805
"2023-2025","male","58",58,FALSE,0.00844288565631845,0.00840815281140857,89928.5304410069,22.0987883756401
"2023-2025","male","59",59,FALSE,0.00928243674346323,0.00923989423222403,89172.3976149535,21.2818432250307
"2023-2025","male","60",60,FALSE,0.010313856710572,0.0102612975643849,88348.4540925575,20.4756188968731
"2023-2025","male","61",61,FALSE,0.01140021349568,0.0113351679326867,87441.8843157604,19.6826847560745
"2023-2025","male","62",62,FALSE,0.0127973322972836,0.0127168651986536,86450.7158726907,18.9026551710988
"2023-2025","male","63",63,FALSE,0.0141181665255806,0.0140184999218699,85351.3337726106,18.1396221026814
"2023-2025","male","64",64,FALSE,0.0156765032587729,0.0155549837331107,84154.8361067877,17.3904698610763
"2023-2025","male","65",65,FALSE,0.0169551309210984,0.0168113532091274,82845.8090000841,16.6573259943837
"2023-2025","male","66",66,FALSE,0.0188545998233728,0.0186783391934035,81453.0588430877,15.9336724843784
"2023-2025","male","67",67,FALSE,0.0207769588948546,0.0205653582767356,79931.6509816763,15.2274442688066
"2023-2025","male","68",68,FALSE,0.0233002748876512,0.0230382702560002,78287.8279415871,14.5365786042714
"2023-2025","male","69",69,FALSE,0.0252267973187413,0.0249111655675633,76484.2118037136,13.8673019557641
"2023-2025","male","70",70,FALSE,0.0274602736227043,0.0270858655195419,74578.9009401667,13.2088618653099
"2023-2025","male","71",71,FALSE,0.0297018451060225,0.0292617360052538,72558.8668587061,12.5627698978209
"2023-2025","male","72",72,FALSE,0.0331190761850148,0.0325849043401468,70435.6684518463,11.9265798979433
"2023-2025","male","73",73,FALSE,0.0365524131924915,0.035900234214341,68140.5289332086,11.3112858935893
"2023-2025","male","74",74,FALSE,0.0406178744605913,0.0398187887555984,65694.2679850173,10.7137544849823
"2023-2025","male","75",75,FALSE,0.0437203916456353,0.0427770693954414,63078.4018056682,10.1370737352628
"2023-2025","male","76",76,FALSE,0.0479942244949844,0.0468544918333868,60380.0926342736,9.56793835152708
"2023-2025","male","77",77,FALSE,0.0527105547664169,0.051366790709942,57551.0140770419,9.01403360316795
"2023-2025","male","78",78,FALSE,0.0591334296262382,0.0574377707765252,54594.8031818016,8.47485285970732
"2023-2025","male","79",79,FALSE,0.0658306613639324,0.0637262602707858,51458.9993910558,7.9607772921648
"2023-2025","male","80",80,FALSE,0.073292838305444,0.0706894142315423,48179.7098025871,7.46869625740887
"2023-2025","male","81",81,FALSE,0.0819912653476287,0.0787518385922688,44773.9143387966,6.9989702142383
"2023-2025","male","82",82,FALSE,0.0920608422766122,0.0880193705943719,41247.8862636436,6.55467210690913
"2023-2025","male","83",83,FALSE,0.10219283449571,0.0971961780245744,37617.2732763694,6.13891560200133
"2023-2025","male","84",84,FALSE,0.113444840234088,0.107362826579176,33961.0180862004,5.7463314480384
"2023-2025","male","85",85,FALSE,0.124824563291516,0.117433963207077,30314.8671909594,5.37726152264324
"2023-2025","male","86",86,FALSE,0.138383696106473,0.12929752456332,26754.8721926288,5.02678466684577
